Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
MP9707,Thursday,2015-02-05,19:45:00,21:00:00,Vancouver Girls Midget C2,Meadow Ridge Female Midget C1,PNE Agrodome,Midget,Blue Group,Playoffs C Leagues,Vancouver Girls
PP9307,Thursday,2015-02-05,19:45:00,21:00:00,North Shore Female Peewee C1,North Shore Winter Club Female Peewee C1,Harry Jerome Rec Centre,Peewee,Black Group,Playoffs C Leagues,North Shore Female
BP9505,Thursday,2015-02-05,20:00:00,21:15:00,Abbotsford Female Bantam C1,Burnaby Female Bantam C1,Matsqui Recreation Centre,Bantam,Red Group,Playoffs C Leagues,Abbotsford Female
JP9003,Thursday,2015-02-05,21:45:00,23:00:00,Tri Cities Female Juvenile C1,Surrey Female Juvenile C1,Port Coquitlam Blue,Juvenile,Black Group,Playoffs C Leagues,Tri Cities Female
MP9514,Friday,2015-02-06,18:15:00,19:30:00,Richmond Girls Midget C2,South Delta Female Midget C1,Richmond Ice Centre Igloo,Midget,Red Group,Playoffs C Leagues,Richmond Girls
BP9007,Friday,2015-02-06,19:30:00,20:45:00,North Shore Female Bantam A1,Vancouver Girls Bantam A1,Ice Sports North Shore 2 Blue,Bantam,Flight 1,Playoffs Rep,North Shore Female
PP9003,Friday,2015-02-06,19:45:00,21:15:00,Richmond Girls Peewee A1,Vancouver Girls Peewee A1,Richmond Ice Centre Igloo,Peewee,Flight 1,Playoffs Rep,Richmond Girls
MP9313,Friday,2015-02-06,20:15:00,21:30:00,Tri Cities Female Midget C1,Richmond Girls Midget C1,Port Coquitlam Green,Midget,Black Group,Playoffs C Leagues,Tri Cities Female
PP9701,Friday,2015-02-06,20:30:00,22:00:00,Burnaby Female Peewee C1,Vancouver Girls Peewee C2,Burnaby Lake Arena,Peewee,Blue Group,Playoffs C Leagues,Burnaby
BP9008,Saturday,2015-02-07,10:00:00,11:15:00,Vancouver Girls Bantam A1,Richmond Girls Bantam A1,Killarney Community Centre,Bantam,Flight 1,Playoffs Rep,Vancouver Girls
MP9704,Saturday,2015-02-07,11:30:00,12:45:00,Vancouver Girls Midget C1,Meadow Ridge Female Midget C1,Killarney Community Centre,Midget,Blue Group,Playoffs C Leagues,Vancouver Girls
MP9705,Saturday,2015-02-07,14:15:00,15:30:00,Abbotsford Female Midget C1,Vancouver Girls Midget C2,Abbotsford Centre Ice 1 Blue,Midget,Blue Group,Playoffs C Leagues,Abbotsford Female
PP9009,Saturday,2015-02-07,17:30:00,18:45:00,Tri Cities Female Peewee A1,Richmond Girls Peewee A2,Coquitlam Recreation,Peewee,Flight 1,Playoffs Rep,Tri Cities Female
MP9504,Saturday,2015-02-07,17:45:00,19:00:00,Richmond Girls Midget C2,Western Washington Female Midget C1,Richmond Ice Centre Igloo,Midget,Red Group,Playoffs C Leagues,Richmond Girls
MP9308,Saturday,2015-02-07,20:45:00,22:00:00,Tri Cities Female Midget C1,Langley Girls Midget C1,Coquitlam Main,Midget,Black Group,Playoffs C Leagues,Tri Cities Female
MP9509,Sunday,2015-02-08,09:45:00,11:15:00,Western Washington Female Midget C1,Tri Cities Female Midget C3,Bellingham Sportsplex,Midget,Red Group,Playoffs C Leagues,Western Washington Female
PP9510,Sunday,2015-02-08,12:45:00,14:00:00,North Shore Female Peewee C2,Richmond Girls Peewee C1,Ice Sports North Shore 3 Green,Peewee,Red Group,Playoffs C Leagues,North Shore Female
PP9010,Sunday,2015-02-08,13:30:00,15:00:00,Richmond Girls Peewee A1,Abbotsford Female Peewee A1,Richmond Ice Centre Coliseum,Peewee,Flight 1,Playoffs Rep,Richmond Girls
PP9705,Sunday,2015-02-08,15:45:00,17:00:00,Tri Cities Female Peewee C2,Burnaby Female Peewee C1,Planet Ice Coquitlam 1 Mars,Peewee,Blue Group,Playoffs C Leagues,Tri Cities Female
PP9011,Sunday,2015-02-08,16:00:00,17:30:00,Richmond Girls Peewee A2,Vancouver Girls Peewee A1,Richmond Ice Centre Forum,Peewee,Flight 1,Playoffs Rep,Richmond Girls
MP9309,Sunday,2015-02-08,16:15:00,17:45:00,Langley Girls Midget C1,North Shore Female Midget C1,Langley Twin Rinks 1,Midget,Black Group,Playoffs C Leagues,Langley Girls
BP9006,Sunday,2015-02-08,16:45:00,18:00:00,Abbotsford Female Bantam A1,North Shore Female Bantam A1,Abbotsford Centre Ice 1 Blue,Bantam,Flight 1,Playoffs Rep,Abbotsford Female
MP9513,Sunday,2015-02-08,19:00:00,20:15:00,Tri Cities Female Midget C2,South Delta Female Midget C1,Port Moody 2,Midget,Red Group,Playoffs C Leagues,Tri Cities Female
BP9710,Monday,2015-02-09,18:45:00,20:15:00,Meadow Ridge Female Bantam C1,Langley Girls Bantam C1,Planet Ice Maple Ridge 1 Cam Neely,Bantam,Blue Group,Playoffs C Leagues,Meadow Ridge Female
MP9515,Monday,2015-02-09,19:45:00,21:15:00,South Delta Female Midget C1,Tri Cities Female Midget C3,Tilbury Ice,Midget,Red Group,Playoffs C Leagues,South Delta
PP9310,Tuesday,2015-02-10,18:15:00,19:30:00,Tri Cities Female Peewee C1,North Shore Winter Club Female Peewee C1,Planet Ice Coquitlam 2 Pluto,Peewee,Black Group,Playoffs C Leagues,Tri Cities Female
BP9506,Tuesday,2015-02-10,18:45:00,20:00:00,Tri Cities Female Bantam C2,Abbotsford Female Bantam C1,Planet Ice Coquitlam 3 Venus,Bantam,Red Group,Playoffs C Leagues,Tri Cities Female
MP9700,Tuesday,2015-02-10,19:15:00,20:30:00,Meadow Ridge Female Midget C1,Vancouver Girls Midget C2,Planet Ice Maple Ridge 2,Midget,Blue Group,Playoffs C Leagues,Meadow Ridge Female
PP9311,Tuesday,2015-02-10,19:15:00,20:30:00,Langley Girls Peewee C1,South Delta Female Peewee C1,Langley Sportsplex 1,Peewee,Black Group,Playoffs C Leagues,Langley Girls
PP9707,Tuesday,2015-02-10,19:30:00,20:45:00,Burnaby Female Peewee C1,Meadow Ridge Female Peewee C1,Kensington Arena,Peewee,Blue Group,Playoffs C Leagues,Burnaby
