Game #,Day,Date,Start,End,Home Team,Away Team,Arena,Division,Flight,Competition,Association,Notes
BL9338,Friday,2015-01-16,20:00:00,21:15:00,North Shore Female Bantam C1,Richmond Girls Bantam C1,West Vancouver Ice Arena,Bantam,Black Group,League,North Shore Female
ML9553,Friday,2015-01-16,20:15:00,21:30:00,Tri Cities Female Midget C3,Western Washington Female Midget C1,Port Coquitlam Green,Midget,Red Group,League,Tri Cities Female
BL9551,Friday,2015-01-16,20:30:00,22:00:00,Burnaby Female Bantam C1,Langley Girls Bantam C1,Burnaby Lake Arena,Bantam,Red Group,League,Burnaby
ML9554,Friday,2015-01-16,21:30:00,22:45:00,Surrey Female Midget C1,Langley Girls Midget C2,Surrey Sport & Leisure Centre Arena 3 Green,Midget,Red Group,League,Surrey Female
PL9555,Saturday,2015-01-17,08:30:00,09:45:00,Vancouver Girls Peewee C1,Richmond Girls Peewee C1,Killarney Community Centre,Peewee,Red Group,League,Vancouver Girls
ML9561,Saturday,2015-01-17,08:45:00,10:00:00,Surrey Female Midget C1,Western Washington Female Midget C1,Planet Ice Delta Canadian,Midget,Red Group,League,Surrey Female
NL9329,Saturday,2015-01-17,09:00:00,10:15:00,Langley Girls Novice C2,North Shore Female Novice C2,Langley Sportsplex 1,Novice,Red Group,League,Langley Girls
AL9533,Saturday,2015-01-17,09:30:00,10:45:00,North Shore Female Atom C3,Meadow Ridge Female Atom C2,Ice Sports North Shore 1 Red,Atom,Red Group,League,North Shore Female
PL9354,Saturday,2015-01-17,09:45:00,11:00:00,North Shore Winter Club Female Peewee C1,Tri Cities Female Peewee C1,North Shore Winter Club,Peewee,Black Group,League,North Shore Winter Club
AL9333,Saturday,2015-01-17,11:15:00,12:30:00,North Shore Female Atom C2,Surrey Female Atom C2,Ice Sports North Shore 3 Green,Atom,Blue Group,League,North Shore Female
ML9704,Saturday,2015-01-17,11:30:00,12:45:00,Vancouver Girls Midget C1,Meadow Ridge Female Midget C1,Killarney Community Centre,Midget,Blue Group,League,Vancouver Girls
AL9534,Saturday,2015-01-17,11:45:00,13:00:00,Richmond Girls Atom C3,Tri Cities Female Atom C3,Richmond Ice Centre Pond,Atom,Red Group,League,Richmond Girls
TL9003,Saturday,2015-01-17,12:00:00,13:00:00,South Delta Female Tyke C1,Richmond Girls Tyke C1,South Delta Recreation Centre - Tsawwassen,Tyke,Black Group,League,South Delta
ML9705,Saturday,2015-01-17,14:15:00,15:30:00,Abbotsford Female Midget C1,Vancouver Girls Midget C2,Abbotsford Centre Ice 1 Blue,Midget,Blue Group,League,Abbotsford Female
AL9334,Saturday,2015-01-17,14:30:00,15:30:00,Burnaby Female Atom C1,Meadow Ridge Female Atom C1,Burnaby Lake Arena,Atom,Blue Group,League,Burnaby
BL9552,Saturday,2015-01-17,15:30:00,16:45:00,Surrey Female Bantam C2,Abbotsford Female Bantam C1,North Surrey Arena 2,Bantam,Red Group,League,Surrey Female
BL9553,Saturday,2015-01-17,16:45:00,18:15:00,Langley Girls Bantam C1,Vancouver Girls Bantam C1,George Preston Recreation Centre,Bantam,Red Group,League,Langley Girls
ML9557,Saturday,2015-01-17,17:30:00,18:45:00,Tri Cities Female Midget C2,South Delta Female Midget C1,Coquitlam Recreation,Midget,Red Group,League,Tri Cities Female
BL9339,Saturday,2015-01-17,17:45:00,19:00:00,Richmond Girls Bantam C1,Tri Cities Female Bantam C1,Richmond Ice Centre Igloo,Bantam,Black Group,League,Richmond Girls
NL9332,Saturday,2015-01-17,17:45:00,19:00:00,Abbotsford Female Novice C1,North Shore Winter Club Female Novice C1,Matsqui Recreation Centre,Novice,Red Group,League,Abbotsford Female
NL9330,Saturday,2015-01-17,18:00:00,19:00:00,Vancouver Girls Novice C2,Meadow Ridge Female Novice C1,Burnaby Winter Club,Novice,Red Group,League,Vancouver Girls
AL9337,Saturday,2015-01-17,18:45:00,20:00:00,North Shore Winter Club Female Atom C1,Tri Cities Female Atom C2,North Shore Winter Club,Atom,Blue Group,League,North Shore Winter Club
AL9018,Saturday,2015-01-17,19:15:00,20:30:00,Tri Cities Female Atom C1,North Shore Female Atom C1,Coquitlam Main,Atom,Black Group,League,Tri Cities Female
ML9352,Saturday,2015-01-17,20:45:00,22:00:00,Tri Cities Female Midget C1,North Shore Winter Club Female Midget C1,Coquitlam Main,Midget,Black Group,League,Tri Cities Female
NL9331,Sunday,2015-01-18,08:45:00,10:00:00,North Shore Female Novice C1,Burnaby Female Novice C1,Ice Sports North Shore 2 Blue,Novice,Red Group,League,North Shore Female
AL9335,Sunday,2015-01-18,09:00:00,10:15:00,Surrey Female Atom C2,North Shore Winter Club Female Atom C1,Newton Arena,Atom,Blue Group,League,Surrey Female
AL9535,Sunday,2015-01-18,09:15:00,10:30:00,North Shore Female Atom C4,Vancouver Girls Atom C1,Ice Sports North Shore 1 Red,Atom,Red Group,League,North Shore Female
NL9015,Sunday,2015-01-18,09:15:00,10:15:00,Richmond Girls Novice C2,Langley Girls Novice C1,Richmond Ice Centre Igloo,Novice,Black Group,League,Richmond Girls
TL9004,Sunday,2015-01-18,09:30:00,10:45:00,Richmond Girls Tyke C2,Tri Cities Female Tyke C1,Richmond Olympic Oval South,Tyke,Black Group,League,Richmond Girls
ML9555,Sunday,2015-01-18,09:45:00,11:15:00,Western Washington Female Midget C1,Tri Cities Female Midget C2,Bellingham Sportsplex,Midget,Red Group,League,Western Washington Female
PL9351,Sunday,2015-01-18,09:45:00,11:00:00,Meadow Ridge Female Peewee C1,North Shore Female Peewee C1,Pitt Meadows Arena Volkswagen Blue,Peewee,Black Group,League,Meadow Ridge Female
ML9351,Sunday,2015-01-18,11:15:00,12:30:00,North Shore Winter Club Female Midget C1,Richmond Girls Midget C1,North Shore Winter Club,Midget,Black Group,League,North Shore Winter Club
ML9710,Sunday,2015-01-18,11:15:00,12:30:00,Meadow Ridge Female Midget C1,Vancouver Girls Midget C1,Pitt Meadows Arena Volkswagen Blue,Midget,Blue Group,League,Meadow Ridge Female
PL9547,Sunday,2015-01-18,11:15:00,12:30:00,Vancouver Girls Peewee C1,Langley Girls Peewee C2,Richmond Olympic Oval North,Peewee,Red Group,League,Vancouver Girls
TL9005,Sunday,2015-01-18,11:30:00,12:45:00,North Shore Female Tyke C2,North Shore Female Tyke C1,Ice Sports North Shore 2 Blue,Tyke,Black Group,League,North Shore Female
BL9555,Sunday,2015-01-18,12:45:00,14:00:00,Vancouver Girls Bantam C1,Richmond Girls Bantam C2,Richmond Olympic Oval North,Bantam,Red Group,League,Vancouver Girls
PL9549,Sunday,2015-01-18,12:45:00,14:00:00,North Shore Female Peewee C2,Surrey Female Peewee C1,Ice Sports North Shore 3 Green,Peewee,Red Group,League,North Shore Female
AL9012,Sunday,2015-01-18,13:00:00,14:15:00,Tri Cities Female Atom C1,Surrey Female Atom C1,Planet Ice Coquitlam 1 Mars,Atom,Black Group,League,Tri Cities Female
AL9526,Sunday,2015-01-18,13:30:00,15:00:00,Richmond Girls Atom C3,North Shore Female Atom C3,Richmond Ice Centre Coliseum,Atom,Red Group,League,Richmond Girls
ML9556,Sunday,2015-01-18,14:30:00,16:00:00,Langley Girls Midget C2,Richmond Girls Midget C2,Langley Twin Rinks 1,Midget,Red Group,League,Langley Girls
NL9333,Sunday,2015-01-18,14:30:00,15:30:00,Tri Cities Female Novice C1,Surrey Female Novice C1,Planet Ice Coquitlam 1 Mars,Novice,Red Group,League,Tri Cities Female
AL9331,Sunday,2015-01-18,15:45:00,17:00:00,Tri Cities Female Atom C2,North Shore Female Atom C2,Planet Ice Coquitlam 1 Mars,Atom,Blue Group,League,Tri Cities Female
NL9014,Sunday,2015-01-18,16:00:00,17:15:00,Vancouver Girls Novice C1,Richmond Girls Novice C1,Hillcrest Centre Arena,Novice,Black Group,League,Vancouver Girls
BL9341,Sunday,2015-01-18,16:15:00,17:30:00,Surrey Female Bantam C1,Meadow Ridge Female Bantam C1,Surrey Sport & Leisure Centre Arena 2 Purple,Bantam,Black Group,League,Surrey Female
ML9353,Sunday,2015-01-18,16:15:00,17:45:00,Langley Girls Midget C1,Tri Cities Female Midget C1,Langley Twin Rinks 1,Midget,Black Group,League,Langley Girls
BL9554,Sunday,2015-01-18,16:45:00,18:00:00,Abbotsford Female Bantam C1,Tri Cities Female Bantam C2,Abbotsford Centre Ice 1 Blue,Bantam,Red Group,League,Abbotsford Female
AL9338,Sunday,2015-01-18,17:45:00,19:00:00,Richmond Girls Atom C2,Langley Girls Atom C1,Richmond Ice Centre Forum,Atom,Blue Group,League,Richmond Girls
PL9355,Sunday,2015-01-18,18:45:00,20:00:00,South Delta Female Peewee C1,Langley Girls Peewee C1,Tilbury Ice,Peewee,Black Group,League,South Delta
ML9706,Monday,2015-01-19,18:45:00,20:15:00,Meadow Ridge Female Midget C1,Abbotsford Female Midget C1,Planet Ice Maple Ridge 1 Cam Neely,Midget,Blue Group,League,Meadow Ridge Female
ML9558,Monday,2015-01-19,19:45:00,21:00:00,Richmond Girls Midget C2,South Delta Female Midget C1,Richmond Ice Centre Pond,Midget,Red Group,League,Richmond Girls
AL9530,Tuesday,2015-01-20,18:15:00,19:30:00,Tri Cities Female Atom C3,Meadow Ridge Female Atom C2,Planet Ice Coquitlam 2 Pluto,Atom,Red Group,League,Tri Cities Female
BL9556,Tuesday,2015-01-20,18:45:00,20:00:00,Tri Cities Female Bantam C2,Richmond Girls Bantam C2,Planet Ice Coquitlam 3 Venus,Bantam,Red Group,League,Tri Cities Female
PL9357,Tuesday,2015-01-20,19:15:00,20:30:00,Langley Girls Peewee C1,Meadow Ridge Female Peewee C1,Langley Sportsplex 1,Peewee,Black Group,League,Langley Girls
PL9359,Tuesday,2015-01-20,19:30:00,20:45:00,Burnaby Female Peewee C1,North Shore Female Peewee C1,Kensington Arena,Peewee,Black Group,League,Burnaby
PL9556,Tuesday,2015-01-20,19:45:00,21:00:00,Vancouver Girls Peewee C2,Vancouver Girls Peewee C1,Killarney Community Centre,Peewee,Red Group,League,Vancouver Girls
ML9354,Tuesday,2015-01-20,20:15:00,21:30:00,North Shore Female Midget C1,North Shore Winter Club Female Midget C1,Harry Jerome Rec Centre,Midget,Black Group,League,North Shore Female
