Game #,Day,Date,Start,End,Home Team,Away Team,Arena
AL9506,Sunday,11/23/2014,11:15,12:30,Meadow Ridge Female Atom C2,Abbotsford Female Atom C1,Pitt Meadows Arena Volkswagen Blue
NL9307,Sunday,11/23/2014,12:40,13:40,North Shore Winter Club Female Novice C1,North Shore Female Novice C1,North Shore Winter Club
BL9513,Sunday,11/23/2014,12:45,14:00,Vancouver Girls Bantam C1,Richmond Girls Bantam C2,Richmond Olympic Oval North
PL9010,Sunday,11/23/2014,13:30,15:00,Richmond Girls Peewee A1,Abbotsford Female Peewee A1,Richmond Ice Centre Coliseum
ML9514,Sunday,11/23/2014,14:30,16:00,Langley Girls Midget C2,Richmond Girls Midget C2,Langley Twin Rinks 1
BL9009,Sunday,11/23/2014,15:15,16:45,Richmond Girls Bantam A1,Surrey Female Bantam A1,Richmond Ice Centre Coliseum
PL9514,Sunday,11/23/2014,15:45,17:00,Tri-Cities Female Peewee C2,Vancouver Girls Peewee C2,Planet Ice Coquitlam 1 Mars
AL9507,Sunday,11/23/2014,16:00,17:15,Vancouver Girls Atom C1,North Shore Female Atom C3,Hillcrest Centre Arena
BL9311,Sunday,11/23/2014,16:15,17:30,Surrey Female Bantam C1,Meadow Ridge Female Bantam C1,Surrey Sport & Leisure Centre Arena 2 Purple
ML9315,Sunday,11/23/2014,16:15,17:45,Langley Girls Midget C1,Richmond Girls Midget C1,Langley Twin Rinks 1
ML9013,Sunday,11/23/2014,17:15,18:45,North Shore Female Midget A1,Western Washington Female Midget A1,West Vancouver Ice Arena
PL9013,Sunday,11/23/2014,17:30,18:45,Vancouver Girls Peewee A1,North Shore Female Peewee A1,Hillcrest Centre Arena
AL9307,Sunday,11/23/2014,17:45,19:00,Richmond Girls Atom C2,Langley Girls Atom C1,Richmond Ice Centre Forum
PL9515,Sunday,11/23/2014,17:45,19:00,Richmond Girls Peewee C1,Abbotsford Female Peewee C1,Richmond Ice Centre Igloo
PL9313,Sunday,11/23/2014,18:45,20:00,South Delta Female Peewee C1,Langley Girls Peewee C1,Tilbury Ice
ML9515,Sunday,11/23/2014,19:00,20:15,Tri-Cities Female Midget C2,South Delta Female Midget C1,Port Moody 2
ML9516,Monday,11/24/2014,19:45,21:00,Richmond Girls Midget C2,South Delta Female Midget C1,Richmond Ice Centre Pond
PL9314,Tuesday,11/25/2014,18:15,19:30,Tri-Cities Female Peewee C1,Langley Girls Peewee C1,Planet Ice Coquitlam 2 Pluto
BL9514,Tuesday,11/25/2014,18:45,20:00,Tri-Cities Female Bantam C2,Richmond Girls Bantam C2,Planet Ice Coquitlam 3 Venus
PL9317,Tuesday,11/25/2014,19:30,20:45,Burnaby Female Peewee C1,North Shore Female Peewee C1,Kensington Arena
PL9516,Tuesday,11/25/2014,19:45,21:00,Vancouver Girls Peewee C2,Abbotsford Female Peewee C1,Killarney Community Centre
ML9316,Tuesday,11/25/2014,20:15,21:30,North Shore Female Midget C1,Richmond Girls Midget C1,Harry Jerome Rec Centre
ML9014,Tuesday,11/25/2014,21:15,22:30,Vancouver Girls Midget A1,Richmond Girls Midget A1,Killarney Community Centre
AL9005,Wednesday,11/26/2014,18:00,19:15,Tri-Cities Female Atom C1,North Shore Female Atom C1,Planet Ice Coquitlam 4 Saturn
PL9014,Wednesday,11/26/2014,18:00,19:15,Surrey Female Peewee A1,North Shore Female Peewee A1,Cloverdale Arena
PL9011,Wednesday,11/26/2014,18:30,19:45,Richmond Girls Peewee A2,Vancouver Girls Peewee A1,Richmond Ice Centre Coliseum
AL9520,Wednesday,11/26/2014,18:45,20:00,South Delta Female Atom C1,North Shore Female Atom C4,Tilbury Ice
ML9015,Wednesday,11/26/2014,20:15,21:45,Abbotsford Female Midget A1,Tri-Cities Female Midget A1,Matsqui Recreation Centre
